outlet,competitor,url,published_at,channel,section,author,words,chars,sentences,sent_len_mean,sent_len_median,long_sentence_share,paragraphs,par_len_sentences_mean,flesch_ru,fkgl_ru,passive_per_1000,bureaucratic_per_1000,nominalization_per_1000,numbers_per_1000,percents_per_1000,dates_per_1000,quotes,attributions,links_external,links_internal,images,videos,title_words,title_chars,title_type,lead_words,lead_type,headings,headings_per_1000,structure,genre,named_sources,named_sources_per_1000,anonymous_sources,primary_doc_links,verifiable,opinion_marked,evaluative_in_news,update_mark,modified_meta,modified_gap_hours,primacy,fact_opinion_mixed
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/10/gas-import,2026-07-10T12:16:18+05:00,site,,Gazeta,403,2674,24,15.21,16.0,0.042,11,2.18,37.6,12.9,71.96,0.0,17.37,81.89,37.22,17.37,1,3,2,3,0,0,15,91,утверждение,37,фактологический,0,0.0,перевёрнутая пирамида,расширенная новость,2,4.96,0,0,False,False,0,False,True,0.0,комментарий эксперта,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/10/ali-khamenei,2026-07-10T13:59:51+05:00,site,,Gazeta,242,1684,14,16.57,15.5,0.143,5,2.0,24.2,15.2,49.59,4.13,4.13,37.19,0.0,12.4,0,3,3,1,0,0,7,48,утверждение,30,фактологический,0,0.0,перевёрнутая пирамида,новость,1,4.13,0,0,False,False,0,False,True,1.17,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/10/condolences,2026-07-10T16:24:10+05:00,site,,Gazeta,120,907,6,19.33,17.0,0.167,4,1.5,13.8,17.5,41.67,8.33,25.0,33.33,0.0,8.33,0,1,3,0,0,0,5,51,утверждение,35,отложенный,0,0.0,nut graf,новость,1,8.33,0,0,False,False,0,False,True,0.0,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/11/wc-spain-belgium,2026-07-11T08:35:41+05:00,site,,Gazeta,680,4630,37,17.51,15.0,0.189,16,2.5,38.9,13.5,51.47,0.0,5.88,38.24,0.0,2.94,3,1,0,0,0,0,9,63,утверждение,101,фактологический,0,0.0,перевёрнутая пирамида,расширенная новость,1,1.47,0,0,False,False,0,False,True,0.13,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/11/aventus-group,2026-07-11T09:00:52+05:00,site,,,767,5334,52,13.42,13.0,0.096,19,2.74,35.3,12.7,69.1,0.0,20.86,44.33,9.13,14.34,6,0,3,0,0,0,10,65,how-to,79,фактологический,5,6.52,разбор по пунктам,интервью,0,0.0,0,0,False,False,0,False,True,-18.88,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/13/accidents,2026-07-13T07:46:45+05:00,site,,Gazeta,265,1796,16,12.88,12.0,0.062,9,1.78,26.4,13.7,37.74,0.0,26.42,150.94,0.0,7.55,0,3,1,0,0,0,10,62,утверждение,28,фактологический,0,0.0,перевёрнутая пирамида,новость,3,11.32,0,0,False,False,0,False,True,0.9,комментарий эксперта,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/13/construction-violations,2026-07-13T11:42:56+05:00,site,,Gazeta,261,2134,20,12.65,11.5,0.0,10,2.0,11.0,15.8,88.12,3.83,45.98,22.99,0.0,7.66,3,4,2,3,0,0,12,90,утверждение,27,фактологический,0,0.0,перевёрнутая пирамида,новость,4,15.33,0,0,False,False,0,False,True,0.0,комментарий эксперта,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/13/construction,2026-07-13T13:13:06+05:00,site,,Gazeta,609,4927,33,17.7,18.0,0.212,23,1.43,5.8,18.1,90.31,3.28,52.55,29.56,0.0,8.21,4,4,1,0,0,0,8,80,утверждение,25,фактологический,4,6.57,разбор по пунктам,расширенная новость,4,6.57,0,1,True,False,0,False,True,0.35,собственный сбор,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/13/sunexpress,2026-07-13T15:01:57+05:00,site,,Gazeta,135,995,11,11.27,11.0,0.0,6,1.83,27.9,13.0,133.33,7.41,14.81,66.67,0.0,22.22,0,2,1,1,0,0,11,71,утверждение,20,фактологический,0,0.0,перевёрнутая пирамида,новость,2,14.81,0,0,False,False,0,False,True,0.0,комментарий эксперта,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/13/incident,2026-07-13T17:02:11+05:00,site,,Gazeta,240,1711,23,10.13,10.0,0.043,8,2.88,38.6,11.1,62.5,0.0,16.67,25.0,0.0,4.17,2,4,1,0,0,0,8,60,утверждение,17,фактологический,0,0.0,перевёрнутая пирамида,новость,1,4.17,0,0,False,False,0,False,True,-0.05,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/13/energy-consumption,2026-07-13T17:12:26+05:00,site,,Gazeta,291,2428,16,17.94,18.5,0.188,10,1.6,-2.6,19.4,82.47,6.87,61.86,27.49,0.0,6.87,1,4,2,1,0,0,7,64,утверждение,34,фактологический,0,0.0,перевёрнутая пирамида,новость,3,10.31,0,2,True,False,0,False,True,0.0,собственный сбор,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/14/food-city,2026-07-14T10:50:25+05:00,site,,Gazeta,159,1249,10,15.8,12.5,0.2,6,1.67,14.4,16.3,81.76,0.0,50.31,6.29,0.0,0.0,1,3,1,0,0,0,13,80,утверждение,32,фактологический,0,0.0,перевёрнутая пирамида,новость,2,12.58,0,0,False,False,0,False,True,0.27,комментарий эксперта,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/14/national-university-of-uzbekistan,2026-07-14T11:00:15+05:00,site,,,625,5030,27,20.89,19.0,0.333,27,1.04,-0.9,20.1,94.4,6.4,20.8,83.2,0.0,1.6,10,0,18,0,0,0,12,96,утверждение,48,фактологический,4,6.4,разбор по пунктам,интервью,0,0.0,0,1,True,False,0,False,True,-0.62,работа с первоисточником,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/14/credit-freeze,2026-07-14T11:54:10+05:00,site,,Gazeta,284,1867,15,15.2,15.0,0.133,8,2.0,28.1,14.2,84.51,3.52,24.65,158.45,24.65,42.25,1,1,1,2,0,0,10,68,утверждение,27,фактологический,0,0.0,перевёрнутая пирамида,новость,0,0.0,0,0,False,False,0,False,True,0.28,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/14/uzauto-motors,2026-07-14T13:42:32+05:00,site,,Gazeta,877,6619,55,14.8,14.0,0.036,29,1.83,22.4,14.9,69.56,2.28,44.47,68.42,13.68,22.81,1,0,1,1,0,0,14,87,утверждение,20,отложенный,5,5.7,разбор по пунктам,аналитика,0,0.0,0,0,False,False,0,False,True,0.53,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/14/kyrgyzstan,2026-07-14T14:49:29+05:00,site,,Gazeta,146,1189,9,16.0,16.0,0.0,7,1.29,6.6,17.5,157.53,6.85,68.49,20.55,0.0,13.7,0,0,2,1,0,0,9,63,утверждение,32,фактологический,0,0.0,перевёрнутая пирамида,новость,0,0.0,0,0,False,False,0,False,True,0.03,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/15/france-spain,2026-07-15T09:36:19+05:00,site,,Gazeta,886,6082,45,19.04,19.0,0.178,20,2.6,32.3,14.9,46.28,0.0,7.9,27.09,0.0,2.26,1,0,0,2,0,0,12,83,утверждение,69,фактологический,0,0.0,перевёрнутая пирамида,расширенная новость,0,0.0,0,0,False,False,0,False,True,4.53,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/15/rayyan-kids,2026-07-15T11:51:05+05:00,site,,Gazeta,265,2085,16,16.06,14.5,0.125,11,1.45,10.6,17.0,60.38,3.77,49.06,33.96,7.55,15.09,0,2,4,1,0,0,13,90,утверждение,40,фактологический,0,0.0,перевёрнутая пирамида,новость,1,3.77,0,0,False,False,0,False,True,0.03,рерайт,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/15/water,2026-07-15T14:43:20+05:00,site,,Gazeta,170,1262,10,16.4,16.0,0.0,8,1.25,20.6,15.7,88.24,11.76,23.53,47.06,0.0,5.88,0,2,1,4,0,0,10,68,утверждение,22,фактологический,0,0.0,перевёрнутая пирамида,новость,2,11.76,0,1,True,False,0,False,True,0.05,собственный сбор,False
Gazeta.uz,gazeta,https://www.gazeta.uz/ru/2026/07/16/mobiuz,2026-07-16T11:00:39+05:00,site,,,321,2416,23,13.35,12.0,0.087,9,2.56,19.8,14.8,118.38,3.12,28.04,37.38,15.58,6.23,0,1,2,0,0,0,11,91,утверждение,42,фактологический,2,6.23,перевёрнутая пирамида,новость,1,3.12,0,0,False,False,0,False,True,0.15,рерайт,False
